v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65
.088238,.55472,.01134,1.0205,-66.52,.34204,.10949,.57752,1.0881,.32036,.10949,.1976,.096885003,.10949,1475.2,.24742,1.8027,.10949,.077287003,50.199001,1.1574,.13523,.062286999,.41949,.32036,.20912,1.0387,.026093,6.1267,.37788001,.077287003,155.33,2.3498,.24377,.13523,1.4493,571.37,.32101,.095457003,.12879,.11189,.095457003,127.3,77.096001,.45289,.66883,54.621,.10746,.075859003,1.0193,.55407,.42557,.73717,.73866,15182,.080954999,.27543,.91904998,.002024,7.2711,4.7343,142.75999,2.5568,3.2597,0
-.006202,.48465,.23298,1.5998,6.1825,0,-.006202,1.0634,1.2757,.51535,.001329,-.015967,.037544001,-.006202,3693.4,.098825,2.0634,-.006202,-.0048619998,59.923,1.0158,.001289,-.0048619998,,.080285,.098825,.17118,.6154500000000001,4.0022,.36381,.00077799999,108.05,3.3779,2.7075,-.036475,1.2757,5.2519,.5938,-.028591,.05781,.29167,.001011,171.38,111.45,-.029614,1.0606,58.258,-.052809,-.041395001,1.2823,.38846,.29604,1.3614,1.5686,2341.8,-.028591,-.012035,1.0046999,.15222,6.0911,3.2749,111.14,3.2841,3.37,0
.13024,.22142,.57751,3.6082,120.04,.18764,.16212,3.059,1.1415,.67731,.16212,.7321800000000001,.16568001,.16212,431.75,.84539,4.5164,.16212,.14349,41.507999,1.2362,.14586,.11528,.23566,.67731,.70143,1.4737,2.8721,4.7622,.050069001,.14349,81.65300000000001,4.4701,.65878,.14586,1.1698,,.67731,.12909999,1.3196,.042587,.12909999,163.71001,122.2,1.0137,3.028,47.382,.1208,.10692,3.6082,.22142,.22371,3.3684,3.3684,33401,.12396,.19229,.87603998,0,8.7934,2.987,71.530998,5.1027,5.6188,0
-.089951,.887,.26927,1.5222,-55.992,-.073957,-.089951,.1274,1.2754,.113,-.080792,-.17445,.084037997,-.089951,3020.5,.12084,1.1274,-.089951,-.070524998,47.698002,1.0942,0,-.070524998,,.064737,.12084,0,1.2519,4.0153,.65779001,-.13865,253.91,1.4375,.83567,.014027,1.2754,1.9005,.4383,.010998,.45622,.14998,0,157.3,109.6,-.53969,1.199,82.07299999999999,-.19714,-.15456,.88491,.51564,.69565,.52538,2.0378,2789.6001,.41883999,-.7960199999999999,.59074003,2.8787,7.6524,3.3302,147.56,2.4735,5.9299,0
.048179,.55041,.10765,1.2437,-22.959,0,.05928,.81682,1.515,.44959,.09199,.13419,.055574998,.05928,2386.1,.15297,1.8168,.05928,.039129,36.074001,.99455,.067616,.031801999,0,.4292,.1328,2.0671,.23891,5.8823,.36331001,.039129,140.12,2.6583,2.1336,.3642,1.515,6.3783,.51225,.2404,.067283,.19828,.044631999,125.21,89.134003,.32177,.9047500000000001,46.538,.042701,.028186001,.99819,.44176,.37618,.99779,1.1369,1.2437,.2404,.10716,.77047998,.13938,10.118,4.095,106.43,3.4294,3.3622,0
.23156,.51047,.47291,1.9393,15.102,0,.28769,.95899,1.7915,.48953,.33362,.57139,.16689,.28769,623.17,.58572,1.959,.28769,.16058999,79.224998,1.2748,.32983,.12926,,.48616,.47576,7.1814,20.047,4.1709,.17309999,.16678999,125.72,2.9033,2.8637,.32968,1.7915,84.27500000000001,.4965,.18403,.44404,.04988,.18411,153.38,74.156998,.5955,1.167,97.092,.31854,.1778,1.9128,.5034999999999999,.34443,20.751,21.047,7008.7998,.18403,.47303,.83995998,.014242,4.6071,4.922,102.58,3.5581,75.941,0
.099486,.5999100000000001,.37489,1.6529,19.036,.21084,.12395,.6669,1.0972,.40009,.12395,.21587,.082929,.12395,1638.2,.22281,1.6669,.12395,.076897003,66.782997,1.2422,.13452,.061721999,.2644,.40009,.18204,.91571,7.3601,4.2136,.37158999,.076897003,142.66,2.5586,.22424,.13452,1.6118,25.411,.42583,.083460003,.006603,.13673,.083460003,214.06,147.27,.33734,1.1393,73.273,.1248,.077427998,1.582,.57417,.39084,7.8547,8.360099999999999,6131,.088581003,.24866,.91141999,.064344,5.4655,2.4784,130.02,2.8072,31.645,0
.078518,.20546,.10393,2.7939,77.78400000000001,.36515,.093388,3.8672,1.2322,.79454,.093388,1.6119,.25843999,.093388,735.12,.49652,4.8672,.093388,.23659,32.076,.99207,.075428,.19892,.43626,.79454,.42414,2.3545,.12401,5.0933,.51863003,.23659,66.01300000000001,5.5292,.36712,.075428,.41595,.86215,.94206,.19109,.045408,.080363,.19109,147.25,115.17,2.2635,2.1951,39.524,.066803,.16924,.78786,.057938,.18086,.948,1.124,12885,.18842,.098822,.81158,.18566,11.379,3.1692,53.575001,6.8129,.47096,0
.12504,.3544,.31419,2.7127,17.942,.30575,.15843,1.8217,1.2362,.6456,.15843,.86364,.16079,.15843,718.98,.50766,2.8217,.15843,.14159,76.460999,1.2607,.18736,.11175,.3773,.6456,.41343,2.0699,.62544,4.9928,.28740001,.14159,73.977,4.9339,.52866,.18736,1.1189,1.5399,.81655,.16744,.37381,.055792,.16744,139.96001,63.501999,.53345,1.435,94.523,.16588,.14824,1.4042,.18345,.20268,1.2851,1.6254,30900,.19109,.19368,.80891001,.26479,4.7737,5.7479,59.841,6.0995,2.2274,0
.29343,.58649,.083392,1.1694,-55.152,-.28211,.29343,.70507,1.6376,.41351,.30572,.59621,.22868,.29343,571.63,.63852,1.7051,.29343,.17918999,37.194,1.4744,0,.17918999,,.19634,.63852,0,.19648,4.3536,.33125001,.38953999,168.46,2.1666,1.8182,.025565,1.6376,47.009,.42221,.015611,.22658,.2412,0,103.43,66.237999,1.7585,.83039,57.118,-.081052,-.049495,.98137,.49217,.46154,.97426,.99474,1882.3,.34882,.70961,.72149998,.021024,9.813499999999999,5.5104,109.7,3.3273,3.8582,0
