,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64
524,0.15891,0.16398,0.70702,5.4195,32.102,0.0,0.19755,5.0984,3.3602,0.8360200000000001,0.19755,1.2349,0.10958,0.19755,162.55,2.2454,6.0984,0.19755,0.058791999000000005,46.904999,1.0293,0.19414,0.047292002,1.1577,0.80494,2.0098,,5.3155,3.2065,0.017441001,0.058791999000000005,18.467,19.765,19.283,0.19821,3.3602,,0.8360200000000001,0.058988001,0.71162,0.014984,0.057776999,81.810997,34.907001,0.36801,2.7204,49.845,0.023488,0.0069900001,5.2873,0.15997999999999998,0.050594,6.2855,6.2855,1137.3,0.058988001,0.19008,0.94128001,0.0,7.7817,10.456,17.377001,21.004,25.263
1761,0.03288,0.7053,0.073085,1.1237,-4.2435,0.0,0.036584,0.41783000000000003,2.6865,0.2947,0.07181900000000001,0.061903999999999994,0.029224998999999998,0.036584,3278.9,0.11132,1.4178,0.036584,0.013618,11.241,1.1506,0.068557,0.012239,-0.028766000000000003,0.1037,0.10607,1.9457,0.21755,3.1961,0.23528001,0.025745001,82.289,4.4356,3.7166,0.06514400000000001,2.6865,5.4786,0.40081,0.024249,0.15900999999999998,0.21279,0.025519,77.456001,66.214996,0.3974,0.98367,11.52,0.026626999999999998,0.009912,0.94153,0.59098,0.22545,0.8772399999999999,1.1931,114.8,0.024249,0.11157,0.9865700000000001,0.36006,32.47,5.5123,80.293999,4.5458,7.997000000000001
4192,0.007287999999999999,0.84606,-0.11075,0.8669399999999999,-33.522,0.059905999999999994,0.010487999999999999,0.12176,0.9487899999999999,0.10300999999999999,0.010487999999999999,0.012601000000000001,0.016194001,0.010487999999999999,4571.6,0.07984,1.182,0.010487999999999999,0.0025140001,25.330999,1.0274,0.014043,0.0017469999999999999,0.071371,0.10300999999999999,0.076058,0.031943,-0.3977,4.0512,0.19088,0.0025140001,69.09899999999999,5.2823,0.016597999999999998,0.014043,4.4349,31.361,0.11679,0.003367,0.064502,0.39119,0.003367,58.439999,33.109001,0.025177,0.51912,24.034000000000002,-0.043018,-0.010313,0.85282,0.8322799999999999,0.18930999999999998,0.36993000000000004,0.41941000000000006,-1246.0,-0.053973999,0.070751,1.054,0.13374,14.409,11.024000000000001,72.829002,5.0117,14.979000000000001
4276,0.14475,0.072429,0.38556,6.3233,66.903,0.49291,0.14475,12.793,1.0634,0.9266200000000001,0.14475,1.9985,0.10425999999999999,0.14475,125.08,2.9181,13.807,0.14475,0.071409002,6.9816999000000015,1.1048,0.1289,0.071409002,0.49291,0.9266200000000001,2.9181,0.6762,0.71135,4.1981,-0.16085,0.071409002,13.868,26.319000000000003,1.7797,0.1289,2.0519,,0.9266200000000001,0.06358800099999999,5.5696,0.01218,0.06358800099999999,9.829600300000001,2.8478999,3.7332,5.7879,7.4244,0.0623,0.030734001,6.3233,0.072429,0.037995999999999995,1.7096,1.7096,6083.6001,0.059624000999999996,0.15622,0.94037998,0.0,52.278999999999996,128.16,13.042,27.987,3.74
5777,0.13796,0.7338600000000001,0.25081,1.3431,-2.2871,0.0,0.13796,0.36266,1.7168,0.26614,0.1697,0.18874000000000002,0.08289200099999999,0.13796,1882.2,0.19392,1.3627,0.13796,0.08035700000000001,54.002998,,0.16295,0.08035700000000001,0.24888000000000002,0.19372,0.19392,5.132999999999999,13.719000000000001,4.2193,0.18742999,0.080411002,171.94,2.1632,2.1547,0.16512000000000002,1.7509,1212.0,0.26674000000000003,0.096175,0.57307,0.14622000000000002,0.094910003,119.67,65.666,0.5431199999999999,0.9205700000000001,58.63399999999999,0.15859,0.09237500300000001,1.3378,0.73096,0.46226999999999996,14.557,14.59,4156.0,0.096175,0.51837,0.90309,0.0022559999999999998,6.7589,5.5584,155.39999,2.3487,93.906
5239,0.19228,0.43611000000000005,0.33043,1.8095,33.799,0.0,0.19228,1.2930000000000001,2.1802,0.56389,0.19263,0.47107,0.12565,0.19228,581.05,0.62817,2.293,0.19228,0.08819200099999999,27.686999999999998,1.2323,0.0,0.08819200099999999,0.50193,0.4654,0.62817,0.0,1.2641,5.1206,0.19984999,0.17783999,81.444,4.4816,4.1945,0.013178,2.1802,,0.56389,0.0060439999,0.003356,0.17799,0.0,123.42,95.734001,1.1626,1.4043,32.999,-0.081675,-0.037462,1.6936,0.40817,0.22313000000000002,2.1572,2.1572,43614.0,0.16097999999999998,0.34099,0.83919001,0.0,13.183,3.8126,68.333,5.3415,8.3406
2574,0.17911,0.069399,0.64949,10.405999999999999,84.45999999999998,0.0,0.22380999999999998,13.409,1.1224,0.9306,0.2255,3.2413,0.20259000000000002,0.22380999999999998,111.4,3.2766,14.409,0.22380999999999998,0.19939999,6.6331,0.92869,0.21295999999999998,0.15956999,1.195,0.89764,2.6325,126.15,2.3075,3.7491,-0.085327998,0.20006999,27.74,13.158,13.091,0.21389,1.1224,,0.9306,0.19055999999999998,8.4282,0.010683,0.18972999999999998,44.416000000000004,37.782001,8.7808,10.111,8.1947,0.20936999999999997,0.18653999,10.354000000000001,0.069048,0.076,3.3063,3.3063,3644.8999,0.19055999999999998,0.19246,0.80352998,0.0,55.027,9.6606,22.454,16.256,3.9878
2683,0.09917000000000001,0.5341600000000001,-0.11567000000000001,0.59737,-171.5,0.12832000000000002,0.099759,0.40876999999999997,1.1782,0.21835,0.099759,0.34724,0.26118001,0.099759,1069.6,0.34126,1.8721,0.099759,0.14293,65.712997,1.4501,0.14484,0.14208999,0.12902,0.21835,0.34016,2.445,-0.13964000000000001,4.6147,0.75836998,0.14293,177.02,2.0619,0.27114,0.14484,0.7387100000000001,0.18619000000000002,0.46521999999999997,0.20751999,0.022382,0.07724,0.20751999,86.389,20.676001,0.78922,0.16,77.425,0.06230599999999999,0.08927100199999999,0.32129,0.28729,0.48499,0.26358000000000004,0.5616,-4763.3999,0.15125999999999998,0.45418000000000003,0.84873998,1.1306,5.5544,17.653,150.24001,2.4294,0.84254
3934,0.019119,0.69771,0.007033,1.0135,-33.583,0.0,0.019556999999999998,0.43327,1.6603,0.30229,0.05269600000000001,0.037599,0.032795001000000004,0.019556999999999998,4677.0,0.078041,1.4333,0.019556999999999998,0.011779000000000001,31.485001,1.4049,0.048979,0.011515000000000001,0.076709,0.30041,0.077413,1.4780000000000002,0.014872999999999999,4.4246,0.41486001,0.028051,116.75,3.1263,2.3306,0.034199,1.6603,2.6602,0.44663,0.020597999999999998,0.040699,0.27729000000000004,0.0295,111.24,79.754997,0.13349,0.73818,32.147,0.014086000000000001,0.0084840003,0.75558,0.5201399999999999,0.31987,0.6393300000000001,0.9445899999999999,186.94,0.020597999999999998,0.06324500000000001,0.98847002,0.47746000000000005,11.593,4.5765,114.35,3.1919999999999997,3.5114
2123,0.003878,0.332,0.62461,2.998,39.154,0.060759,0.009059000000000001,2.0033,1.0008,0.6651,0.009059000000000001,0.028976,0.023905000000000003,0.009059000000000001,2327.4,0.15683,3.012,0.009059000000000001,0.0041589997999999994,60.417999,0.9056799999999999,0.007465,0.0017810001,0.089135,0.6651,0.14123,0.0343,9.9523,3.9172,0.063555002,0.0041589997999999994,52.43,6.9617,0.022484999999999998,0.007465,2.215,29.764,0.68448,0.0034270000000000004,0.7216600000000001,0.21625,0.0034270000000000004,119.25,58.833,0.010757,1.8447,60.466,-0.035544,-0.016318001000000002,2.823,0.31263,0.14364000000000002,10.597000000000001,10.905999999999999,5161.7002,0.0007919999799999999,0.005831,0.99921,0.029131999999999998,6.0412,6.204,52.388000000000005,6.9672,34.705
